,,,,,,SOLUTION SCOPE,,,,,,USER EXPERIENCE DATA,,,,,,,,,,,,,,,,,,,,,BUSINESS IMPACT DATA,,,,,,,,,,,,,,,,,,,,,ADDITIONAL DATA,,,,,,,,,PORTFOLIO REVIEW,,,
P'n'C Area,Solution name,Which Problem it Solves,What is the solution,Is a regulatory demand?,Owner's Name,Maturity Stage,Target User,Indirect Impact User,Main Journey Stage Impacted,Collateral Journey Stage Impacted,User Interface Platform,"Key Metric
User Experience",TARGET,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,From where do you extract these infos?,Is the extraction: Manual or Automated?,"If manual, how much effort does it take to monitor results today?","If manual, what's the main reason why the extraction is not automated? 
(If none of the options attend, please input your reason)","If manual, what are the main steps you need to do to extract the data?",Tracking Frequency,Where do you monitor it?,"Key Metric
Business Impact",TARGET,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,From where do you extract these infos?,Is the extraction: Manual or Automated?,"If manual, how much effort does it take to monitor results today?","If manual, what's the main reason why the extraction is not automated? 
(If none of the options attend, please input your reason)","If manual, what are the main steps you need to do to extract the data?",Tracking Frequency,Where do you monitor it?,What are the secondary (guardrail) metrics do you monitor?,"PJC 
Headcount Allocation (BAU) in hours in a year 
*only input numbers","PATO
Headcount Allocation (BAU) in hours in a year 
*only input numbers","Talent Acquisition
Headcount Allocation (BAU) in hours in a year 
*only input numbers","HRBP
Headcount Allocation (BAU) in hours in a year 
*only input numbers","PSE
Headcount Allocation (BAU) in hours in a year 
*only input numbers","Total
Headcount Allocation (BAU) in hours 
(Formula)","Total
Headcount Allocation (BAU) in # HC
(Formula)","[ONLY For PTech] 
People Tech Involvement Flag",Review Status: Which Problem it Solves,Review Status: What is the solution,Review Status: Headcount Allocation,Review Status: People Tech Involvement Flag
HRBP,M5+ Onboarding,"Having a structured onboarding process tailored for senior leaders (M5+) to addresses the challenge of integrating new hires into the company's unique culture and high-performance environment. It helps align new leaders with company expectations, accelerates their effectiveness, and maximizes opportunities for impactful contributions. This process mitigates risks of misalignment and delays, benefiting both individual leaders and the organization as a whole.","Offer a tailored framework for Sr Nuvinhos to ensure a seamless transition into our dynamic culture by leveraging HRBPs, managers, and buddies. It accelerates domain expertise, strategic alignment, and relationship building, enabling leaders to thrive and unlock opportunities within six months.",NO,Luiza Paganelli,2. Growth,People Manager - M5+,P&C: HRBP,(2) Start and adapt,(3) Perform my role,Google Docs; Google Sheets; Zoom; 1:1s,NPS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,% completion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,24,,24,0.01,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
HRBP,Engagement Survey - BU Actions Plan,Conduct a detailed data analysis and narrative for each BU to assist the GM and Leadership Teams in gaining a comprehensive understanding of the engagement survey results,"The Engagement Survey - BU Actions Plan is a strategic initiative that fosters effective action planning by promoting collaboration between HRBPs and BU leaders to thoroughly analyze survey results and craft specific, impactful action plans.",NO,Luiza Paganelli,1. Development,People Manager - M5+,All Nubankers,All,N/A,Visier & Qualtrics,% of users who feel more prepared after using the solution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Manual,,,,N/A,N/A,"Insightfulness Score (Avg. rating 1-5 on ""This report provided clear and actionable information.""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Visier & Qualtrics,Manual,,,,Per Semester,Visier & Qualtrics,N/A,,36,,960,,996,0.52,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
HRBP,Talent Assessment,"Implementing a structured evaluation system for senior leadership development at Nubank ensures consistent evaluations and provides clear documentation to expedite strategic discussions. This system supports conversations about organizational ideation and structure, addresses retention challenges and mitigates risks of misalignment and underprepared leadership to enhance both individual and organizational success.

","The Talent Assessment evaluates Nubank's senior leaders on role fit, retention risk, strengths, and succession planning, ensuring alignment with organizational goals. By systematically addressing these areas, it identifies development opportunities and prepares effective successors",NO,Luiza Paganelli,3. Mature,People Manager - M5+,People Manager - All,(4) Develop myself and grow,(3) Perform my role,Google Docs and Slides,% of users who feel more prepared after using the solution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,% of completion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,240,,240,0.13,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
HRBP,M5+ Talent Brokering,The lack of a structured talent brokering process for senior leaders (M5+) results in suboptimal alignment of skills and roles across the organization. This situation leads to underutilization of talent and hinders organizational productivity and success.,"Run the M5+ brokering process, which focuses on identifying internal candidates for M5+ open roles across building blocks and establishing a centralized governance. 
",NO,Julia Burin,3. Mature,People Manager - M5+,People Manager - M5+,(3) Perform my role,(4) Develop myself and grow,Xavier/Google Docs,Time to Fill for M5+ Roles in Brokering Process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Manual,,,,Monthly,Google Docs,% High Performance rate (ratings >= 3) in the first performance cycle after the transfer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,24,96,,120,0.06,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
HRBP,People Plan,The absence of a structured People Plan across HRBPs at Nubank has led to inconsistencies in aligning HR strategies with business objectives. This lack of a unified approach result in missed opportunities for talent optimization across Nu. ,"The People Plan initiative establishes a strategic and standardized framework for HRBPs, aligning HR strategies with business objectives. It ensures HRBPs can effectively integrate people metrics and qualitative assessments into business planning, fostering accountability and progress",NO,Luiza Paganelli,2. Growth,P&C: HRBP,People Manager - All,All,N/A,Google Docs and Slides; MIRO; Oracle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,20,,,2820,,2840,1.49,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
HRBP,Org Ideation,"Align the organizational structure with the company's overall strategy and objectives to support business outcomes effectively. Design a structure that best fits the organization's goals while ensuring compliance with legal, regulatory, and industry standards and requirements.","The Org Ideation initiative provides a structured reorganization process, aligning teams with strategic goals. It fosters collaboration between HRBPs and leaders, ensuring efficient team structures that bolster performance and resource allocation",NO,Luiza Paganelli,2. Growth,P&C: HRBP,"People Manager - All, All Nubankers",All,N/A,Google Docs and Slides; MIRO; Oracle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,18,,180,,198,0.10,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
HRBP,Succession Plan - C-Level,Identify the talents and create growth plans to help them develop and succeed. The main focus is on developing talent to increase their readiness to take on a Mteam role and less of a check-in-the-box exercise of having names in a presentation.,"The succession plan for C-Levels is a strategy to identify, develop, and prepare internal talent to take on executive positions, ensuring continuity, stability, and sustainable growth in the company.",NO,Luiza Paganelli,3. Mature,MTeam,All Nubankers,(4) Develop myself and grow,(2) Start and adapt,"1:1s, Zoom, Meets",% of critical C-Levels positions with successors mapped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google Doc,Manual,,,,N/A,N/A,TBD - Ideia: Time to fill C-Level vacancies? ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Monthly,N/A,N/A,,,,10,,10,0.01,FALSE,Adjusted,Room for improvement,Already Reviewed,Already Reviewed
PATO,AskNu,"The lack of a centralized way of obtaining answers affects Nubankers in their day-to-day operations, leading to inefficiencies and frustration as they struggle to resolve their inquiries while navigating through multiple knowledge hubs and help centers.","The AskNu slackbot is a productivity tool empowered by AI that enables Nubankers to find the information they need by centralizing information and tools previously scattered across various knowledge bases, considering internal and external sources.",NO,Carolina Junqueira,1. Development,All Nubankers,N/A,(3) Perform my role,(2) Start and adapt,Slack,Monthly retention rate,70%,70.2%,72.2%,73.6%,72.4%,73.4%,69.5%,67.8%,64.8%,,,,,AskNu dataset,Automated,,,,Monthly,AskNu looker dash,Domain deflection,80%,98.0%,96.4%,96.0%,96.1%,96.0%,94.4%,93.9%,91.0%,,,,,AskNu dataset / AskPeople dataset,Automated,,,,Monthly,AskPeople looker dash,"MAU, CSAT, Response accuracy",,,,,,0,0.00,TRUE,Adjusted,Adjusted,To be reviewed,Already Reviewed
PATO,YODA,"Operational inefficiencies when consulting and executing their transactions, mainly with Oracle.Accessing the system and performing many actions involved time-consuming steps and multiple clicks. Users also struggled with the non-intuitive path into the system and not the best user experience","Slack bot conversation, that uses AI-powered and proprietary technology that centralizes interactions, approvals and notifications for transactions tasks for systems as Oracle and ADP",NO,Patricia Ferreira,2. Growth,All Nubankers,P&C: All,(3) Perform my role,(2) Start and adapt,Slack,"Time to successful task completion.
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Manual,High Effort,The way the data is collected today doesn't support automated extraction,,On demand,N/A,Saving hours,N/A,"804,59","873,74","752,19","908,69","907,79","831,04","739,11",,,,,,Dataset no Bigquery (API do yoda),Automated,,,,Monthly,Dashboard,Tool usage,0,2850,0,0,0,2850,1.50,TRUE,Room for improvement,Room for improvement,Already Reviewed,Already Reviewed
